1	covid19			0.07468374322306906
2	cases			0.011956208585422068
3	new			0.006881695083942275
4	rate			0.00641025641025641
5	actually			0.004989392629842068
6	government			0.0061385243969513635
7	fatality			0.006194180351483722
8	shuts			0.006050129645635264
9	reason			0.005028679185982557
10	003			0.005978104292711034
11	society			0.005850422985254446
12	trump			0.003981037688902857
14	news			0.004586705429402058
15	pandemic			0.004570336031010188
16	coronavirus			0.00437062937062937
17	amp			0.002350645609072575
18	via			0.003172389408344465
19	positive			0.0030512558602446243
20	speakerpelosi			0.0035619810900709777
21	deaths			0.0030578036196013724
22	health			0.0027304156517639665
23	testing			0.002825358162436814
24	june			0.0019708755663811845
26	numbers			0.0026649380581964853
27	2020			0.0016991435530761372
28	realdonaldtrump			0.0015714622456195488
29	virus			0.0023768366464995676
30	death			0.0017384301092166258
31	cnnbrk			0.00217712998611875
32	rally			0.0022327859406511092
34	patients			0.0021051046331945207
35	test			0.0020330792802702915
36	states			0.0020330792802702915
37	crisis			0.001961053927346062
39	due			0.0018890285744218329
40	family			0.0016336659595086562
41	response			0.0018170032214976034
42	county			0.0019446845289541918
43	details			0.0018006338231057331
44	state			0.0012899085932793798
45	says			0.0016729525156491448
46	cdc			0.0018006338231057331
47	emergency			0.001728608470181504
49	tested			0.0014732458552683273
50	days			0.0014732458552683273
51	risk			0.0012178832403551506
52	need			6.87514732458554e-05
53	global			0.0015289018098006862
54	link			0.0010181765799743329
55	today			0.00025208873523480265
56	times			0.0014012205023440979
58	nigeria			0.0015845577643330453
59	records			0.0015845577643330453
60	573			0.001456876456876457
61	update			0.001456876456876457
62	million			0.0013848511039522276
63	drug			0.001512532411408816
64	may			0.0006187632592126974
67	quarantine			0.0013848511039522276
69	world			0.0006744192137450564
70	care			0.0008021005212016447
71	deathshit			0.0013684817055603573
72	join			0.0011131190906471806
73	many			9.166863099447373e-05
74	study			0.0011131190906471806
76	tests			0.0013684817055603573
77	wave			0.0012964563526361278
78	spread			0.0011687750451795395
79	report			0.0011687750451795395
81	mask			0.000969068384798722
83	home			0.0007137057698855452
84	beijing			0.0011524056467876692
85	case			0.0010247243393310809
86	impact			0.0010247243393310809
88	work			0.0006416804169613158
90	keep			0.00013095518713496235
91	online			0.0002586364945915507
92	years			0.00044197375658049825
93	data			0.00108038029386344
94	market			0.0009526989864068517
95	demand			0.000697336371493675
97	masks			0.00044197375658049825
98	safe			0.0008250176789502634
99	also			5.892983421073314e-05
101	amid			0.00108038029386344
102	use			0.00044197375658049825
104	covid			0.0003142924491239099
105	symptoms			0.0006253110185694456
106	second			0.0003699484036562688
107	sign			0.0006253110185694456
108	reported			0.0010083549409392106
109	hydroxychloroquine			0.0010083549409392106
111	latest			0.0008806736334826223
112	officers			0.0008806736334826223
113	read			0.00017024174327545118
114	outbreak			0.000808648280558393
115	signed			0.0009363295880149813
116	players			0.0002979230507320395
117	lockdown			0.000808648280558393
118	months			0.0002979230507320395
119	ahead			0.0009363295880149813
120	fda			0.0009363295880149813
122	americans			0.0009363295880149813
124	restrictions			0.000808648280558393
126	total			0.000808648280558393
127	city			0.000808648280558393
128	petition			0.000808648280558393
130	offer			0.0009363295880149813
131	registration			0.0009363295880149813
132	signing			0.0009363295880149813
133	number			0.0006089416201775753
135	business			0.0004812603127209869
136	community			0.0006089416201775753
138	year			9.821639035122187e-05
139	china			0.0002258976978078102
140	monday			0.000864304235090752
141	vaccine			0.000864304235090752
143	try			9.821639035122187e-05
144	voter			0.000864304235090752
145	start			0.0004092349597967576
146	confirmed			0.0005369162672533459
148	post			0.0004092349597967576
152	underlying			0.0007922788821665227
153	protect			0.0005369162672533459
155	including			0.0004092349597967576
156	several			0.0006645975747099343
157	daily			0.0006645975747099343
158	blood			0.0006645975747099343
159	infections			0.0007922788821665227
160	united			0.0007922788821665227
161	surge			0.0007922788821665227
162	continue			0.0004092349597967576
163	away			0.0002095282994159398
164	families			0.0005925722217857049
166	record			0.0007202535292422932
167	employees			0.0005925722217857049
168	higher			0.0007202535292422932
169	pence			0.0007202535292422932
170	result			0.0004648909143291165
173	using			0.0002095282994159398
174	related			0.0007202535292422932
175	working			0.0004648909143291165
176	die			0.0004648909143291165
177	healthy			0.0004648909143291165
178	money			0.0003372096068725282
179	border			0.0007202535292422932
180	travel			0.0004648909143291165
181	dead			0.0005925722217857049
182	treatment			0.0005925722217857049
183	vietnam			0.0007202535292422932
184	simple			0.0005925722217857049
185	cut			0.0005925722217857049
187	everyone			8.184699195935147e-05
189	thousands			0.0006482281763180639
190	sports			0.0002651842539482989
192	president			0.0001375029464917105
193	yet			9.821639035122154e-06
194	plan			0.0005205468688614756
195	likely			0.0003928655614048872
196	low			0.0006482281763180639
197	job			9.821639035122154e-06
198	released			0.0003928655614048872
199	rates			0.0003928655614048872
200	chronic			0.0006482281763180639
201	according			0.0006482281763180639
202	mike			0.0006482281763180639
203	lies			0.0002651842539482989
204	oklahomas			0.0006482281763180639
205	approval			0.0005205468688614756
206	hit			0.0001375029464917105
207	friends			9.821639035122154e-06
208	reopening			0.0005205468688614756
209	conditions			0.0006482281763180639
210	face			9.821639035122154e-06
212	school			9.821639035122154e-06
215	future			0.0006482281763180639
216	nursing			0.0003928655614048872
217	cause			0.0002651842539482989
219	flu			0.0006482281763180639
221	rise			0.0005205468688614756
222	economic			0.0006482281763180639
223	red			0.0002651842539482989
224	recent			0.0003928655614048872
225	information			0.0002651842539482989
226	american			0.0001375029464917105
227	security			0.0006482281763180639
228	billions			0.0005205468688614756
229	peoplemy			0.0006482281763180639
